46,65,298,95,78,5,0
46,65,298,94,76,5,0
46,65,298,94,74,5,0
46,65,298,92,72,5,0
46,67,298,92,72,5,0
46,67,298,92,70,5,0
46,67,298,88,70,5,0
46,67,298,88,68,5,0
46,69,298,88,68,5,0
48,69,298,88,68,5,0
48,69,298,88,66,5,0
48,69,298,85,66,5,3
49,75,297,81,66,5,3
49,79,297,78,66,5,3
49,88,297,73,64,5,3
53,97,255,70,64,5,0
55,99,251,68,62,5,0
55,101,245,66,62,5,0
57,103,241,66,60,5,0
57,104,235,63,58,5,0
59,107,231,61,56,5,0
59,110,231,60,56,5,0
61,113,222,60,54,5,0
61,113,217,57,52,5,0
63,115,211,57,52,5,0
65,119,203,54,48,5,0
67,121,197,52,48,5,0
67,122,193,49,46,5,0
69,125,187,48,45,5,0
69,127,183,48,42,5,0
71,129,178,46,42,5,-3
69,119,297,48,42,5,-3
71,113,297,48,40,5,-3
71,107,297,50,38,5,-3
70,101,298,51,38,5,-3
71,95,297,54,38,5,-3
69,91,297,59,40,5,-3
69,87,297,62,38,5,-3
69,83,297,68,40,5,0
69,80,297,69,40,5,0
67,79,295,72,42,5,0
67,79,289,74,42,5,0
67,77,285,75,44,5,0
65,75,279,80,45,5,0
63,73,273,81,47,5,0
63,73,269,85,47,5,0
61,71,265,87,47,5,0
61,71,259,90,50,5,0
59,71,255,90,50,5,0
59,69,249,92,51,5,0
57,67,245,93,51,5,0
57,67,239,98,54,5,0
55,65,235,99,54,5,0
55,65,228,101,56,5,0
53,62,223,107,56,5,0
53,62,219,109,58,5,0
51,60,215,113,58,5,0
51,59,209,113,60,5,3
49,61,237,108,60,5,3
49,63,267,102,60,5,3
49,65,297,96,62,5,3
48,67,298,89,62,5,3
49,72,297,84,60,5,3
49,77,297,80,60,5,0
51,79,297,80,60,5,0
51,81,297,80,58,5,0
53,83,297,80,58,5,0
53,85,297,80,58,5,0
53,85,297,81,58,5,0
55,85,297,81,58,5,0
55,85,297,84,58,5,0
57,85,297,84,58,5,0
57,85,297,86,58,5,0
57,87,297,86,58,5,0
57,85,297,88,58,5,0
59,87,297,88,58,5,0
59,87,297,89,56,5,0
59,85,297,91,58,5,0
61,85,297,94,58,5,0
61,85,297,98,58,5,0
61,85,297,102,58,5,0
61,85,297,106,58,5,0
61,85,297,107,58,5,0
61,85,293,112,60,5,0
61,85,291,116,60,5,0
61,83,283,121,62,5,0
61,85,281,128,62,5,0
61,83,273,134,62,5,0
61,83,271,138,64,5,0
61,83,263,145,64,5,0
61,83,261,152,66,5,3
61,85,283,136,64,5,3
63,89,297,125,66,5,3
63,93,297,118,66,5,3
65,99,297,108,66,5,1
65,101,297,108,66,5,1
65,105,298,106,67,5,1
67,105,297,106,66,5,1
69,109,297,104,66,5,1
69,109,297,104,68,5,1
71,115,298,102,66,5,1
71,117,297,101,68,5,1
73,119,297,100,66,5,1
75,121,297,98,68,5,1
75,123,297,98,68,5,1
77,128,297,94,68,5,1
77,131,298,94,66,5,1
81,134,297,92,66,5,1
81,137,297,92,66,5,1
83,141,297,90,66,5,1
85,145,298,88,66,5,0
85,147,298,88,64,5,0
89,147,298,88,64,5,0
91,147,298,88,64,5,0
92,147,298,88,64,5,0
92,147,298,88,62,5,0
95,147,298,90,62,5,0
95,147,298,92,62,5,0
97,147,298,92,62,5,0
97,147,298,94,64,5,0
98,145,298,94,62,5,0
101,145,298,94,62,5,0
101,145,298,98,62,5,0
101,143,298,100,64,5,0
101,143,298,102,64,5,0
103,141,298,102,64,5,0
103,141,298,104,64,5,0
103,139,292,108,64,5,0
103,137,285,109,66,5,0
103,137,280,111,66,5,0
103,137,277,113,66,5,0
105,135,272,118,66,5,0
103,133,265,120,69,5,0
103,133,262,124,69,5,0
103,131,257,128,69,5,1
103,130,254,126,71,5,1
103,131,256,126,70,5,1
103,131,253,126,70,5,1
105,131,254,122,71,5,1
105,133,253,122,71,5,1
105,133,251,122,73,5,1
104,133,252,120,73,5,1
104,133,249,122,72,5,1
103,133,249,120,72,5,1
105,133,248,120,72,5,0
103,131,242,124,72,5,0
105,129,238,124,72,5,0
103,127,234,130,74,5,0
105,127,228,132,72,5,0
103,125,224,140,74,5,0
103,123,217,148,74,5,0
103,121,213,154,74,5,0
103,119,207,298,76,5,1
101,118,208,298,76,5,1
101,119,206,298,76,5,1
101,117,204,298,79,5,1
101,117,203,298,76,5,1
99,115,202,298,78,5,1
99,113,201,298,78,5,1
98,113,201,298,78,5,1
97,111,200,298,79,5,1
97,111,200,298,78,5,1
97,109,198,298,78,5,1
95,107,198,298,80,5,1
95,106,198,298,80,5,1
95,105,196,298,80,5,1
95,103,197,298,79,5,1
93,101,196,299,80,5,1
93,101,194,298,80,5,1
91,100,194,298,80,5,1
89,99,194,298,80,5,1
